許可日,施設名称,種別,所在地,申請者（法人のみ）,施設電話（法人のみ）,出典
2026/04/01,杢,簡易宿所営業,熊本市中央区万町2丁目4,合名会社早川倉庫,096-352-6044,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/04/03,ENSTEP 熊本桜町,簡易宿所営業,熊本市中央区桜町5-20,株式会社リアサポート,096-344-4011,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/04/10,レジデグローバル熊本,旅館・ホテル営業,熊本市中央区万町1丁目18,大同Tグループ株式会社,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/04/24,福来荘,簡易宿所営業,"熊本市中央区白山3丁目2-21201,202",（個人のため非掲載）,—,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/04/30,amayado,簡易宿所営業,熊本市西区二本木3丁目13-36,株式会社クリエイティブ,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/05/01,REKADO ROOM SHINSUIZENJI,簡易宿所営業,"熊本市中央区白山3丁目1-4ウィンディビル 3B,3C",（個人のため非掲載）,—,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/05/01,LAGUNA STAY,簡易宿所営業,熊本市中央区下通2丁目5-18渡邊ビル3階,株式会社LAGUNA　STAY,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/05/20,KUMA KUMA STAY,簡易宿所営業,熊本市中央区本山1丁目8-20,株式会社tabiji,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/05/21,Tomaru.Kumamoto,旅館・ホテル営業,熊本市中央区上鍛冶屋町17-1,株式会社DNS,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/06/04,vetta@kumamoto suizenji2,簡易宿所営業,熊本市中央区水前寺1丁目4-33204・210・308・402・407・503・505・510,株式会社ＫＡＫＵＳＨＩＮ,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/06/10,ハウル桜町,簡易宿所営業,"熊本市中央区桜町2-36ハウル桜町（102,103,203,403号室）",有限会社林田部品,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/06/23,MORE＋ KUMAMOTO,簡易宿所営業,熊本市中央区横紺屋町4,グッドデイズ株式会社,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/01,パレット九品寺,簡易宿所営業,熊本市中央区九品寺3丁目15-12301 302 303,（個人のため非掲載）,—,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/06,みらいステイ本荘,簡易宿所営業,"熊本市中央区本荘5丁目13-30107, 201, 302, 305",株式会社　いえコレ,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/06,GINKAMA STAY,簡易宿所営業,熊本市中央区内坪井町3-18,（個人のため非掲載）,—,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/13,テラス有明,簡易宿所営業,熊本市西区河内町船津2709-124,株式会社熊本不動産ネット,096-370-3883,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/14,HOTEL　TAKENO,旅館・ホテル営業,熊本市西区二本木2丁目6-19,株式会社愛和不動産,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/14,円満宿　光之森　E.M.　HOTEL KUMAMOTO HIKARI NO MORI,簡易宿所営業,熊本市北区龍田1丁目15-2,円満株式会社,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/16,STAY TATSUDA,簡易宿所営業,熊本市北区龍田2丁目16-10101,株式会社共創アセット,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/16,Urban　Stay　新屋敷　302号,簡易宿所営業,熊本市中央区新屋敷1丁目19-17302号,（個人のため非掲載）,—,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/22,BATTEN KUMAMOTO Castle Side Apartment,簡易宿所営業,熊本市中央区新町1丁目5-3205,（個人のため非掲載）,—,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/27,HOTEL SOVA 熊本並木坂,簡易宿所営業,熊本市中央区城東町5番29-1号,ＳＩＭＰＬＥ株式会社,096-383-9111,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
2026/07/27,vettä@kumamoto castle,簡易宿所営業,熊本市中央区細工町1丁目45201号、202号、502号、602号、804号、1003号室,株式会社KAKUSHIN,,熊本市オープンデータ 旅館業許可施設一覧（新規）CC-BY
