区,許可日,屋号,推定業態（屋号より機械推定）,所在地,出典
中央区,2026/7/1,手羽先番長　熊本店,焼鳥・串,熊本市中央区紺屋町3丁目5,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/1,Ｂｕｎｎｙ　Ｂｕｎｎｙ,,熊本市中央区新市街3-12VIAｷﾑﾗﾋﾞﾙ2F-A･B,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/1,Ｌｏｕｎｇｅ　Ｌｉｌｙ,バー・スナック,熊本市中央区下通1丁目8-18AI Ginza Twinﾋﾞﾙ10F-A･B号室,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/2,鮨処　つかさ,寿司,熊本市中央区渡鹿2丁目10-8-B,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/3,スキマ酒場やよい,居酒屋・酒場,熊本市中央区下通1丁目4-19辰巳苑ﾋﾞﾙ1F-5,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/3,玉手箱,,熊本市中央区花畑町13-11ASOﾋﾞﾙ5F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/7,ＮＩＣＯ,,熊本市中央区下通1丁目6-18ｶｰﾅA1ﾋﾞﾙ2F-B,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/7,ｔａｉｓｈｏｊｉ,,熊本市中央区黒髪4丁目610,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/8,おにまる亭　,,熊本市中央区南熊本3丁目1-23,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/8,かど屋食堂,食堂・定食,熊本市中央区水前寺5丁目23-1,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/8,街角,,熊本市中央区国府1丁目1-4,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/8,鳥貴族　新市街店,焼鳥・串,熊本市中央区下通2丁目2-29ﾒｲﾝﾌﾟﾚｲｽ下通2F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/8,Ｂａｒ　ＮＯＯＫ,バー・スナック,熊本市中央区下通1丁目5-4佐野ﾋﾞﾙ2F-2,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/9,ＮｅｗＣｌｕｂウエディングベル,バー・スナック,熊本市中央区花畑町11-9第2蘇州ﾋﾞﾙ5F-C,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/10,カラオケステージ歌の森,カラオケ・アミューズ,熊本市中央区新大江1丁目23-6,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/10,鮨　銀八,寿司,熊本市中央区下通1丁目11-20丁半ﾋﾞﾙ2F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/10,Ｎ,,熊本市中央区下通1丁目11-21ﾛﾌﾃｨ西銀座会館ﾋﾞﾙ4F-E,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/13,ラウンジホワイトロマン,バー・スナック,熊本市中央区花畑町13-3ｼﾞｬｽﾏｯｸﾋﾞﾙ6F-605,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/13,一鴻,,熊本市中央区新市街4-9新市街ﾌﾟﾚｲｽﾋﾞﾙB1,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/13,ＢＡＲ　ＭＩＹＡＢＩ,バー・スナック,熊本市中央区花畑町10-9ma-ju銀杏ﾋﾞﾙ4F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/15,ゴロクカイ,,熊本市中央区手取本町3-9RS-11ﾋﾞﾙ5F･6F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/15,滝本,,熊本市中央区下通2丁目2-2ﾌﾞﾛｯｻﾑﾋﾞﾙ2F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/16,Ｃａｆｅ　Ｎｅｌｌａ　ｆｏｒｅｓｔａ,カフェ・喫茶,熊本市中央区水道町4-1ｱｰﾄﾋﾞﾙ2F-B,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/16,ＯＮＥ　ＰＩＥＣＥ　ＣＡＦＥ,カフェ・喫茶,熊本市中央区桜町3-10SAKURAMACHI Kumamoto-B1,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/17,ｓｈｅｌｌｒｅｎｔａｌｃａｒ／ｓｈｅｌｌ　ｃａｆé,カフェ・喫茶,熊本市中央区子飼本町7-14ﾗｲｵﾝｱﾈｯｸｽ103,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/21,洋食　九品寺,ステーキ・洋食,熊本市中央区九品寺5丁目2-47大森店舗1F-A,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/23,ししとら,,熊本市中央区手取本町3-14MKﾋﾞﾙ1F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/23,スナック水沢,バー・スナック,熊本市中央区下通1丁目9-21ｻﾝｸｽﾋﾞﾙ6F-C,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/24,ＪＵＫＵ,,熊本市中央区水道町4-39路傍の花B1,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/24,Ｊｅｌｌｙ　Ｂｅｌｌｙ,,熊本市中央区下通1丁目8-18AI Twin Ginza BLDG-4F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/27,炉端　タンナカ,居酒屋・酒場,熊本市中央区下通2丁目3-6双栄ﾋﾞﾙ1F-103,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/27,麻雀ルーム　春夏冬,カラオケ・アミューズ,熊本市中央区九品寺1丁目18-7湛ﾋﾞﾙ1F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/28,由癒,,熊本市中央区萩原町16-3,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/28,ＰＩＮＯＹ　ＫＡＭＡＹＡＮ,,熊本市中央区下通1丁目6-5Modenaﾋﾞﾙ2F-A,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/30,唐揚げ百姓,とんかつ・揚げ物,熊本市中央区国府1丁目23-12,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/31,魚たつ,海鮮・魚料理,熊本市中央区花畑町13-11ASOﾋﾞﾙ1F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/31,Ｂａｒ　ＣＯＲＥ,バー・スナック,熊本市中央区下通1丁目9-8銀座ﾋﾞﾙ4F-全室,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/31,Ｂａｒ　Ｎｏｖｅｌ,バー・スナック,熊本市中央区下通2丁目1-38TM12ﾋﾞﾙ5F-E,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/31,ＬＡＧＵＮＡ　ＤＩＮＩＮＧ,レストラン・ダイニング,熊本市中央区新市街8-7TERRACE87-1F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
中央区,2026/7/31,ＮｅｗＹｏｒｋｅｒ　ＴｓＢＡＲＩＳＴＡ,カフェ・喫茶,熊本市中央区本荘6丁目7-4-1Fﾃﾅﾝﾄ,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
東区,2026/7/1,にっこりキュート,,熊本市東区長嶺南4丁目10-50木村ﾋﾞﾙ1F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
東区,2026/7/10,やまびこ,,熊本市東区長嶺南3丁目1-102ﾚｼﾞﾃﾞﾝｽ山本Ⅱ103,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
東区,2026/7/22,間　ＡＷＡＩ,,熊本市東区小山2丁目3-30,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
東区,2026/7/24,ＭＹ　ＤＩＳＨ　～こころ庵～　Ｂｅｎｔｏ＆Ｃａｆé,カフェ・喫茶,熊本市東区江津1丁目30-10,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
東区,2026/7/30,スマイルハウス事業所,施設内・事業所,熊本市東区神園2丁目6-21,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
東区,2026/7/31,神一愛,,熊本市東区長嶺南4丁目1-7ｽｸｳｪｱﾊﾟｰｸﾅｶﾞﾐﾈE棟,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
西区,2026/7/3,お好み焼き　はやしだ,鉄板・お好み焼,熊本市西区上代1丁目20-6,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
西区,2026/7/3,ヴィアインプライム熊本,ホテル・宿泊,熊本市西区春日2丁目9-29-1F,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
西区,2026/7/9,就労センターすずらん,施設内・事業所,熊本市西区池上町1233-6,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
西区,2026/7/14,苺乃ゑびす屋／弁天,菓子・スイーツ,熊本市西区河内町船津2947,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
西区,2026/7/24,２４／７　ＳＵＰＰＬＹ,,熊本市西区春日3丁目15-30,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
西区,2026/7/28,ＪＲ九州パレットワーク　にじいろ珈琲　熊本店,カフェ・喫茶,熊本市西区春日3丁目15-43,熊本市オープンデータ 飲食店営業許可施設一覧（新規）
